epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4684,2.81308,4.33905,1.69019,0.00975,0.65363,0.01267,0.00568,1.77118,3.75393,1.04573,0.00018,0.00018,0.00018
2,123.084,1.45119,1.90485,0.95647,0.01425,0.95531,0.02385,0.01216,1.29792,3.27005,0.93014,0.000372476,0.000372476,0.000372476
3,181.469,1.27011,1.28557,0.91273,0.01417,0.94972,0.02354,0.01189,1.20956,3.26459,0.92504,0.000557032,0.000557032,0.000557032
4,241.562,1.18142,1.11093,0.90963,0.014,0.93855,0.10591,0.06403,1.11588,3.17122,0.90018,0.000733668,0.000733668,0.000733668
5,301.186,1.08328,0.98989,0.89204,0.01408,0.94413,0.13048,0.0842,1.08504,2.87129,0.91971,0.000902384,0.000902384,0.000902384
6,363.231,1.01209,0.87712,0.87526,0.52505,0.09268,0.69341,0.43761,1.03299,2.54948,0.89847,0.00106318,0.00106318,0.00106318
7,424.522,1.07498,0.89803,0.88457,0.97176,0.1923,0.88999,0.50959,1.10957,2.29506,0.89936,0.00121606,0.00121606,0.00121606
8,486.632,1.12109,0.85319,0.87595,1,0.26196,0.8374,0.52,1.06533,2.21945,0.90062,0.00136101,0.00136101,0.00136101
9,548.542,1.02568,0.83889,0.87778,0.97279,0.799,0.95816,0.59494,1.04053,1.71107,0.90045,0.00149805,0.00149805,0.00149805
10,609.875,1.0583,0.84227,0.86353,0.93494,0.88306,0.9387,0.62048,0.96199,1.5517,0.86196,0.00162716,0.00162716,0.00162716
11,670.053,0.99982,0.80533,0.8591,0.9281,0.91061,0.96565,0.66986,0.97234,1.26189,0.89136,0.001604,0.001604,0.001604
12,730.425,0.96047,0.77337,0.86283,0.96689,0.97892,0.97772,0.70549,0.93801,0.83812,0.89614,0.0015644,0.0015644,0.0015644
13,791.306,0.98331,0.72849,0.86019,0.97043,0.98324,0.98326,0.73107,0.94281,0.77742,0.89676,0.0015248,0.0015248,0.0015248
14,851.865,0.94174,0.69972,0.86314,0.98312,0.97636,0.98173,0.71727,0.90621,0.87856,0.89454,0.0014852,0.0014852,0.0014852
15,911.208,0.97035,0.68421,0.84441,0.97724,0.98324,0.9826,0.73754,0.90876,0.70936,0.88958,0.0014456,0.0014456,0.0014456
16,971.151,0.9938,0.67402,0.84393,0.97638,0.98324,0.98879,0.72037,0.9266,0.79102,0.89421,0.001406,0.001406,0.001406
17,1031.78,0.91929,0.66907,0.84748,0.9793,0.97765,0.98899,0.74618,0.86351,0.72498,0.87788,0.0013664,0.0013664,0.0013664
18,1090.99,0.89199,0.63793,0.84162,0.98876,0.98323,0.98992,0.7474,0.88633,0.6329,0.88876,0.0013268,0.0013268,0.0013268
19,1149.86,0.87564,0.60957,0.84033,0.98313,0.97692,0.98572,0.73938,0.85108,0.6151,0.87225,0.0012872,0.0012872,0.0012872
20,1210.76,0.86679,0.59028,0.83757,0.98057,0.97765,0.98845,0.75463,0.87793,0.59186,0.88721,0.0012476,0.0012476,0.0012476
21,1270.99,0.85604,0.58091,0.85072,0.97802,0.98324,0.9835,0.74309,0.85817,0.59309,0.87725,0.001208,0.001208,0.001208
22,1331.07,0.8601,0.58672,0.8368,0.98869,0.97765,0.98923,0.74946,0.91086,0.56527,0.89208,0.0011684,0.0011684,0.0011684
23,1390.23,0.82818,0.55884,0.83386,0.98314,0.9773,0.9893,0.76496,0.86098,0.5588,0.87814,0.0011288,0.0011288,0.0011288
24,1449.03,0.85179,0.54411,0.82778,0.98672,0.97765,0.99143,0.73399,0.92767,0.56494,0.89331,0.0010892,0.0010892,0.0010892
25,1510.42,0.82217,0.55052,0.83159,0.98333,0.98865,0.99125,0.75517,0.86991,0.53692,0.87815,0.0010496,0.0010496,0.0010496
26,1572.75,0.85293,0.54715,0.83375,0.98875,0.98225,0.99068,0.75335,0.87084,0.52044,0.8836,0.00101,0.00101,0.00101
27,1634.79,0.82014,0.51761,0.8294,0.97784,0.98624,0.99106,0.75882,0.84279,0.52721,0.87383,0.0009704,0.0009704,0.0009704
28,1695.74,0.81916,0.53734,0.82956,0.97734,0.98324,0.99194,0.75462,0.84387,0.50948,0.8752,0.0009308,0.0009308,0.0009308
29,1756.07,0.81002,0.51949,0.83185,0.98874,0.98137,0.99194,0.77511,0.80741,0.49677,0.86524,0.0008912,0.0008912,0.0008912
30,1817.11,0.82271,0.52239,0.82058,0.98308,0.98883,0.99241,0.76776,0.81457,0.4871,0.86633,0.0008516,0.0008516,0.0008516
31,1877.44,0.80609,0.50665,0.82106,0.98333,0.98867,0.98326,0.75334,0.83507,0.49645,0.86939,0.000812,0.000812,0.000812
32,1938.4,0.8149,0.51225,0.82728,0.98333,0.98857,0.98382,0.74027,0.83743,0.49659,0.86802,0.0007724,0.0007724,0.0007724
33,2045.11,0.7818,0.49182,0.82498,0.98535,0.98324,0.983,0.77947,0.78401,0.4689,0.86093,0.0007328,0.0007328,0.0007328
34,2107.49,0.75933,0.47853,0.82302,0.98331,0.98744,0.9832,0.77358,0.78769,0.47212,0.8638,0.0006932,0.0006932,0.0006932
35,2169.26,0.76744,0.47409,0.82199,0.9826,0.98324,0.992,0.76972,0.77271,0.47025,0.8597,0.0006536,0.0006536,0.0006536
36,2231.5,0.76367,0.47864,0.82175,0.97836,0.98324,0.98132,0.77619,0.76226,0.4518,0.85645,0.000614,0.000614,0.000614
37,2293.11,0.7653,0.48078,0.82899,0.97653,0.98324,0.98148,0.77681,0.77987,0.44228,0.85764,0.0005744,0.0005744,0.0005744
38,2354.61,0.72963,0.45525,0.81512,0.97787,0.98737,0.98141,0.77145,0.80169,0.44911,0.86852,0.0005348,0.0005348,0.0005348
39,2420.56,0.74271,0.46244,0.81032,0.98766,0.98324,0.98447,0.78379,0.76264,0.4396,0.85834,0.0004952,0.0004952,0.0004952
40,2485.84,0.77871,0.4636,0.81229,0.98875,0.9821,0.98469,0.78544,0.79279,0.45575,0.86474,0.0004556,0.0004556,0.0004556
41,2547.88,0.69529,0.47105,0.80391,0.98796,0.98324,0.98458,0.79014,0.77594,0.45497,0.86083,0.000416,0.000416,0.000416
42,2609.54,0.70565,0.4672,0.80899,0.98784,0.98324,0.98349,0.7789,0.79223,0.45476,0.86224,0.0003764,0.0003764,0.0003764
43,2669.96,0.69753,0.45942,0.81366,0.98759,0.98324,0.98389,0.77597,0.79708,0.43854,0.86372,0.0003368,0.0003368,0.0003368
44,2730.38,0.66937,0.43851,0.80422,0.98834,0.98324,0.98395,0.77318,0.79349,0.43323,0.86556,0.0002972,0.0002972,0.0002972
45,2896.16,0.67959,0.44299,0.81287,0.98875,0.98201,0.98452,0.78603,0.7739,0.43046,0.86188,0.0002576,0.0002576,0.0002576
46,2956.25,0.67002,0.42495,0.81133,0.98562,0.98324,0.98481,0.78961,0.76233,0.42458,0.85936,0.000218,0.000218,0.000218
